league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,request_id,request_table,request_url,request_status,request_row_index,game_id,date,home_team_id,away_team_id,home_points,away_points,home_possessions,away_possessions,home_team_abbreviation,away_team_abbreviation,is_playoffs,job_variant,request_scope
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,10,1022300011,2023-05-23,1611661324,1611661330,77,83,78,77,MIN,ATL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,11,1022300012,2023-05-25,1611661320,1611661319,85,94,85,86,LAS,LVA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,12,1022300013,2023-05-25,1611661317,1611661324,90,81,81,81,PHO,MIN,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,13,1022300014,2023-05-26,1611661329,1611661322,69,71,80,81,CHI,WAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,14,1022300015,2023-05-26,1611661328,1611661321,91,95,83,82,SEA,DAL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,15,1022300016,2023-05-27,1611661313,1611661323,81,65,74,72,NYL,CON,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,16,1022300017,2023-05-27,1611661319,1611661320,93,65,82,80,LVA,LAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,17,1022300018,2023-05-28,1611661330,1611661325,87,90,80,80,ATL,IND,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,18,1022300019,2023-05-28,1611661329,1611661321,94,88,84,84,CHI,DAL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,19,1022300020,2023-05-28,1611661319,1611661324,94,73,84,83,LVA,MIN,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,20,1022300021,2023-05-30,1611661330,1611661329,83,65,83,84,ATL,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,21,1022300022,2023-05-30,1611661323,1611661325,81,78,75,76,CON,IND,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,22,1022300023,2023-05-30,1611661321,1611661324,94,89,81,82,DAL,MIN,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,23,1022300024,2023-05-30,1611661328,1611661313,78,86,76,75,SEA,NYL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,24,1022300025,2023-06-01,1611661324,1611661323,84,89,76,75,MIN,CON,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,25,1022300028,2023-06-02,1611661329,1611661313,76,77,76,75,CHI,NYL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,26,1022300026,2023-06-02,1611661322,1611661321,75,74,81,81,WAS,DAL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,27,1022300027,2023-06-02,1611661330,1611661319,87,92,85,86,ATL,LVA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,28,1022300029,2023-06-02,1611661317,1611661320,93,99,85,85,PHO,LAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,29,1022300031,2023-06-03,1611661320,1611661328,92,85,81,81,LAS,SEA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,30,1022300030,2023-06-03,1611661322,1611661324,78,80,79,78,WAS,MIN,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,31,1022300032,2023-06-04,1611661323,1611661321,80,74,80,81,CON,DAL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,32,1022300033,2023-06-04,1611661313,1611661329,82,86,86,84,NYL,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,33,1022300034,2023-06-04,1611661325,1611661319,80,84,80,80,IND,LVA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,34,1022300035,2023-06-06,1611661323,1611661319,84,90,83,83,CON,LVA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,35,1022300036,2023-06-06,1611661329,1611661325,108,103,87,86,CHI,IND,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,36,1022300037,2023-06-06,1611661328,1611661320,66,63,80,79,SEA,LAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,37,1022300039,2023-06-07,1611661321,1611661317,84,79,87,88,DAL,PHO,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,38,1022300040,2023-06-08,1611661323,1611661319,94,77,79,78,CON,LVA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,39,1022300042,2023-06-09,1611661321,1611661317,90,77,81,83,DAL,PHO,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,40,1022300043,2023-06-09,1611661324,1611661325,69,71,78,78,MIN,IND,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,41,1022300044,2023-06-09,1611661320,1611661329,77,62,80,80,LAS,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,42,1022300045,2023-06-09,1611661328,1611661322,66,73,77,78,SEA,WAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,43,1022300041,2023-06-09,1611661330,1611661313,83,106,84,84,ATL,NYL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,44,1022300046,2023-06-11,1611661313,1611661321,102,93,82,82,NYL,DAL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,45,1022300047,2023-06-11,1611661319,1611661329,93,80,79,78,LVA,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,46,1022300050,2023-06-11,1611661328,1611661322,65,71,77,79,SEA,WAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,47,1022300048,2023-06-11,1611661330,1611661323,77,89,85,87,ATL,CON,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,48,1022300049,2023-06-11,1611661325,1611661317,82,85,73,73,IND,PHO,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,49,1022300051,2023-06-11,1611661324,1611661320,91,86,82,81,MIN,LAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,50,1022300052,2023-06-13,1611661325,1611661322,87,66,77,77,IND,WAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,51,1022300053,2023-06-13,1611661313,1611661330,79,86,81,81,NYL,ATL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,52,1022300054,2023-06-13,1611661317,1611661328,69,83,79,78,PHO,SEA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,53,1022300055,2023-06-14,1611661321,1611661320,61,79,76,77,DAL,LAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,54,1022300056,2023-06-15,1611661323,1611661330,88,92,87,89,CON,ATL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,55,1022300057,2023-06-15,1611661329,1611661325,90,92,71,71,CHI,IND,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,56,1022300058,2023-06-15,1611661319,1611661328,96,63,82,83,LVA,SEA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,57,1022300059,2023-06-16,1611661322,1611661317,88,69,78,77,WAS,PHO,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,58,1022300060,2023-06-16,1611661320,1611661324,72,77,72,72,LAS,MIN,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,59,1022300061,2023-06-17,1611661321,1611661328,103,109,83,83,DAL,SEA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,60,1022300062,2023-06-18,1611661313,1611661317,89,71,76,76,NYL,PHO,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,61,1022300063,2023-06-18,1611661322,1611661329,77,69,75,75,WAS,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,62,1022300064,2023-06-18,1611661325,1611661330,94,100,87,88,IND,ATL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,63,1022300065,2023-06-18,1611661320,1611661323,74,83,79,79,LAS,CON,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,64,1022300066,2023-06-18,1611661319,1611661324,93,62,78,78,LVA,MIN,False,season_team_catalog,season
