player_name,player_id,player_id_source,pbpstats_player_id,espn_wehoop_player_id,espn_athlete_id,team_2026,team_2026_abbr,parquet_team_display_name,parquet_team_abbreviation,position_abbreviation,position,position_full,height_raw_source,height_inches,height_ft_in,age_2026,player_college,player_country,date_of_birth,parquet_status_name,parquet_status_type,bio_match_method,age_match_method,parquet_name_match_flag,raw_position_name_match_flag,wbb_box_name_match_flag,player_bios_2025_age_match_flag,raw_age_name_match_flag,parquet_match_method,parquet_team_crosscheck_flag,synthetic_id_flag,team_changed_from_bio_flag,missing_age_flag,missing_height_flag,missing_position_flag,name_alias_flag,notes
DiJonai Carrington,1630096,team_roster_history,1630096,,4066548,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"5' 11""",71,"5'11""",28,,,1998-01-08T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Elizabeth Williams,204322,team_roster_history,204322,,2566081,Chicago Sky,CHI,Chicago Sky,CHI,C,Center,Center,"6' 3""",75,"6'3""",32,,,1993-06-23T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Gabriela Jaquez,player:gabriela_jaquez__chicago_sky,synthetic_name,,,4858656,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"6' 0""",72,"6'0""",22,,,2003-11-19T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Hailey Van Lith,1642817,team_roster_history,1642817,,4433412,Chicago Sky,CHI,Connecticut Sun,CONNECTICU,G,Guard,Guard,"5' 9""",69,"5'9""",24,,,2001-09-09T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
Jacy Sheldon,1642292,team_roster_history,1642292,,4432865,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"5' 10""",70,"5'10""",25,,,2000-08-23T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Jordan Hobbs,player:jordan_hobbs__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Kamilla Cardoso,1642289,team_roster_history,1642289,,4433405,Chicago Sky,CHI,Chicago Sky,CHI,C,Center,Center,"6' 7""",79,"6'7""",25,,,2001-04-30T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Latasha Lattimore,player:latasha_lattimore__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,F,Forward,Forward,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Maddy Westbeld,1642818,team_roster_history,1642818,,4433424,Chicago Sky,CHI,Chicago Sky,CHI,F,Forward,Forward,"6' 3""",75,"6'3""",23,,,2002-10-15T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Megan Nestor,player:megan_nestor__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Rachel Banham,1627671,team_roster_history,1627671,,2566186,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"5' 10""",70,"5'10""",32,,,1993-07-15T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Rickea Jackson,1642288,team_roster_history,1642288,,4433630,Chicago Sky,CHI,Chicago Sky,CHI,F,Forward,Forward,"6' 2""",74,"6'2""",25,,,2001-03-16T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Skylar Diggins,203400,team_roster_history,203400,,2491205,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"5' 9""",69,"5'9""",35,,,1990-08-02T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,True,parquet_name_exact_match; historical_name_alias_for_player_id
Sydney Taylor,player:sydney_taylor__chicago_sky,synthetic_name,,,4594786,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"5' 9""",69,"5'9""",24,,,2001-06-21T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Tonie Morgan,player:tonie_morgan__chicago_sky,synthetic_name,,,,Chicago Sky,CHI,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Aaliyah Edwards,1642290,team_roster_history,1642290,,4433408,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,F,Forward,Forward,"6' 3""",75,"6'3""",23,,,2002-07-09T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Aneesah Morrow,1642800,team_roster_history,1642800,,4684384,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,F,Forward,Forward,"6' 1""",73,"6'1""",23,,,2003-02-02T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Bria Hartley,203829,team_roster_history,203829,,,Connecticut Sun,CON,,,G,Guard,Guard,5-9,69,"5'9""",34,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Brittney Griner,203398,team_roster_history,203398,,2490553,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,C,Center,Center,"6' 9""",81,"6'9""",35,,,1990-10-18T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Charlisse Leger-Walker,player:charlisse_leger-walker__connecticut_sun,synthetic_name,,,4703609,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,G,Guard,Guard,"5' 10""",70,"5'10""",24,,,2001-09-15T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Diamond DeShields,1628890,team_roster_history,1628890,,,Connecticut Sun,CON,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Diamond Miller,1641649,team_roster_history,1641649,,4433635,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,F,Forward,Forward,"6' 3""",75,"6'3""",25,,,2001-02-11T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Gianna Kneepkens,player:gianna_kneepkens__connecticut_sun,synthetic_name,,,4898898,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,G,Guard,Guard,"5' 11""",71,"5'11""",23,,,2003-03-04T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Haley Peters,203863,team_roster_history,203863,,,Connecticut Sun,CON,,,"F, G",Forward-Guard,Forward-Guard,6-3,75,"6'3""",34,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Harmoni Turner,player:harmoni_turner__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Kennedy Burke,1629568,team_roster_history,1629568,,3922628,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,G,Guard,Guard,"6' 1""",73,"6'1""",29,,,1997-02-14T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Kyla Oldacre,player:kyla_oldacre__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,F,Forward,Forward,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Leila Lacan,player:leila_lacan__connecticut_sun,synthetic_name,,,5208981,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,G,Guard,Guard,"5' 11""",71,"5'11""",21,,,2004-06-02T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Madison Hayes,player:madison_hayes__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Mamignan Touré,1642841,team_roster_history,1642841,,,Connecticut Sun,CON,,,G,Guard,Guard,6-0,72,"6'0""",32,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Nell Angloma,player:nell_angloma__connecticut_sun,synthetic_name,,,5345319,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,F,Forward,Forward,"6' 1""",73,"6'1""",19,,,2006-06-12T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Olivia Nelson-Ododa,1631135,team_roster_history,1631135,,4398966,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,C,Center,Center,"6' 5""",77,"6'5""",25,,,2000-08-17T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Raegan Beers,player:raegan_beers__connecticut_sun,synthetic_name,,,5105732,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,F,Forward,Forward,"6' 4""",76,"6'4""",22,,,2003-07-23T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Saniya Rivers,1642809,team_roster_history,1642809,,4433514,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,G,Guard,Guard,"6' 1""",73,"6'1""",23,,,2003-03-04T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Shey Peddy,203035,team_roster_history,203035,,1107,Connecticut Sun,CON,Connecticut Sun,CONNECTICU,G,Guard,Guard,"5' 7""",67,"5'7""",37,,,1988-10-28T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Taylor Bigby,player:taylor_bigby__connecticut_sun,synthetic_name,,,,Connecticut Sun,CON,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Tina Charles,202250,team_roster_history,202250,,,Connecticut Sun,CON,,,C,Center,Center,6-4,76,"6'4""",38,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Alanna Smith,1629501,team_roster_history,1629501,,3913881,Dallas Wings,DAL,Dallas Wings,DALLAS,F,Forward,Forward,"6' 4""",76,"6'4""",29,,,1996-09-10T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Alysha Clark,202252,team_roster_history,202252,,924,Dallas Wings,DAL,Dallas Wings,DALLAS,F,Forward,Forward,"5' 11""",71,"5'11""",38,,,1987-07-07T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Amy Okonkwo,1629539,team_roster_history,1629539,,,Dallas Wings,DAL,,,F,Forward,Forward,6-2,74,"6'2""",30,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Arike Ogunbowale,1629481,team_roster_history,1629481,,3904577,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"5' 8""",68,"5'8""",29,,,1997-03-02T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Awak Kuier,1630386,team_roster_history,1630386,,4790266,Dallas Wings,DAL,Dallas Wings,DALLAS,F,Forward,Forward,"6' 6""",78,"6'6""",24,,,2001-08-19T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Aziaha James,1642793,team_roster_history,1642793,,4433807,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"5' 10""",70,"5'10""",21,,,2005-02-22T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Azzi Fudd,player:azzi_fudd__dallas_wings,synthetic_name,,,4433790,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"5' 11""",71,"5'11""",23,,,2002-11-11T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Costanza Verona,player:costanza_verona__dallas_wings,synthetic_name,,,5345473,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"5' 7""",67,"5'7""",26,,,1999-08-06T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Dulcy Fankam Mendjiadeu,1641675,team_roster_history,1641675,,4594527,Dallas Wings,DAL,Dallas Wings,DALLAS,F,Forward,Forward,"6' 3""",75,"6'3""",26,,,1999-07-26T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Grace Berger,1641658,team_roster_history,1641658,,,Dallas Wings,DAL,,,G,Guard,Guard,5-11,71,"5'11""",27,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
JJ Quinerly,1642808,team_roster_history,1642808,,4434015,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"5' 8""",68,"5'8""",23,,,2002-10-24T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Jessica Shepard,1629491,team_roster_history,1629491,,3906949,Dallas Wings,DAL,Dallas Wings,DALLAS,F,Forward,Forward,"6' 4""",76,"6'4""",29,,,1996-09-11T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Li Yueru,1629574,team_roster_history,1629574,,4336633,Dallas Wings,DAL,Dallas Wings,DALLAS,C,Center,Center,"6' 7""",79,"6'7""",27,,,1999-03-28T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Lindsay Allen,1628263,team_roster_history,1628263,,,Dallas Wings,DAL,,,G,Guard,Guard,5-8,68,"5'8""",32,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Lou Lopez Sénéchal,1641661,team_roster_history,1641661,,,Dallas Wings,DAL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Maddy Siegrist,1641652,team_roster_history,1641652,,4399415,Dallas Wings,DAL,Dallas Wings,DALLAS,F,Forward,Forward,"6' 2""",74,"6'2""",25,,,2000-05-22T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Odyssey Sims,203824,team_roster_history,203824,,2529047,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"5' 8""",68,"5'8""",33,,,1992-07-13T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Paige Bueckers,1642784,team_roster_history,1642784,,4433730,Dallas Wings,DAL,Dallas Wings,DALLAS,G,Guard,Guard,"6' 0""",72,"6'0""",24,,,2001-10-20T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Rayah Marshall,1642796,team_roster_history,1642796,,,Dallas Wings,DAL,,,"C, F",Center-Forward,Center-Forward,6-4,76,"6'4""",23,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Ashlon Jackson,player:ashlon_jackson__golden_state_valkyries,synthetic_name,,,5106232,Golden State Valkyries,GSV,Connecticut Sun,CONNECTICU,G,Guard,Guard,"6' 0""",72,"6'0""",22,,,2004-01-06T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Caroline Ducharme,player:caroline_ducharme__golden_state_valkyries,synthetic_name,,,,Golden State Valkyries,GSV,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Cate Reese,player:cate_reese__golden_state_valkyries,synthetic_name,,,,Golden State Valkyries,GSV,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Cecilia Zandalasini,1628508,team_roster_history,1628508,,4257500,Golden State Valkyries,GSV,Golden State Valkyries,GS,F,Forward,Forward,"6' 2""",74,"6'2""",30,,,1996-03-16T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Gabby Williams,1628931,team_roster_history,1628931,,3142328,Golden State Valkyries,GSV,Golden State Valkyries,GS,F,Forward,Forward,"5' 11""",71,"5'11""",29,,,1996-09-09T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
